arm,block,seed,stage,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
ext-w8,1,120001,0,16278,1041751,623.28801472981775,,0.0017517369325082434,400.0887097693726,0.0040296888931401478,11
ext-w8,1,120001,0,16688,1067991,623.28801472981775,,1.2991806390374281e-05,3247.0453083011657,3.2364691104626845e-05,11
ext-w8,1,120001,0,17098,1094231,623.28801472981775,,3.014472944987625e-06,4890.7913293139763,6.9732083615854985e-06,11
ext-w8,1,120001,0,17467,1117847,623.28801472981775,,0.19470967697819594,2.5085732202447066,0.24636961526497436,12
ext-w8,1,120001,0,17877,1144087,623.28801472981775,,0.010478239491167215,231.21032174125025,0.029149983668001415,12
ext-w8,1,120001,0,18287,1170327,623.28801472981775,,6.1825364620444161e-05,2215.8848247924066,0.00015880839258957226,12
ext-w8,1,120001,0,18656,1193943,623.28801472981775,,3.5009589838738127e-06,6211.7793030399744,9.1908361396035271e-06,12
ext-w8,1,120001,0,19066,1220183,623.28801472981775,,0.030654704399228461,7.203496129519289,0.044636132365193225,13
ext-w8,1,120001,0,19476,1246423,623.28801472981775,,0.00048104205697491713,327.38618549296905,0.001145614337352498,13
ext-w8,1,120001,0,19845,1270039,623.28801472981775,,2.3799077585372074e-05,3627.2095508017424,6.0942442773254171e-05,13
ext-w8,1,120001,0,20255,1296279,623.28801472981775,,0.19487754881451527,1.8870907835143367,0.23520951969499793,14
ext-w8,1,120001,0,20665,1322519,623.28801472981775,,0.0042888853553506344,148.65181057497509,0.0082011009282416374,14
