arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
sep-cmaes-ipop-l64,8,111008,6aae441b-db45-44e0-bce7-a0fe584f2a1d,completed,completed,v0.1.0,848.91588973999023,3731648,6502403,6381,1838.382257
sep-cmaes-ipop-l20,8,111008,abdbf837-64bc-4d06-a3e2-cc4762a5efef,completed,completed,v0.1.0,824.9618924458822,1460020,6502403,9823,1678.436289
cmaes-single,9,111009,5a3d8edd-dbe8-4460-a7dd-efd4d0f55375,completed,completed,v0.1.0,911.38956832885742,1498112,1779715,1738,599.280215
cmaes-ipop,9,111009,298e3515-9a9f-4624-94ea-77d5e4e5ab25,completed,completed,v0.1.0,911.38956832885742,1498112,6502403,3912,2038.556318
cmaes-ipop-l64,9,111009,cf6321f3-980f-499e-9a8f-d9b55692e427,completed,completed,v0.1.0,890.97739028930664,6502400,6502403,8290,2118.050445
cmaes-ipop-l20,9,111009,eb3d9f0e-62ec-4976-962b-cb3a74b4d219,completed,completed,v0.1.0,840.71912384033203,2459560,6502403,16885,2357.473094
sep-cmaes-single,9,111009,4efcbc76-c1aa-44f9-a650-22ecb7113c6b,completed,completed,v0.1.0,908.14848327636719,605184,733187,716,196.834062
sep-cmaes-ipop,9,111009,9f66f350-cea4-4b42-8f19-c0748244c238,completed,completed,v0.1.0,865.77431996663415,2623488,6502403,2779,1542.870448
sep-cmaes-ipop-l64,9,111009,0e7ab6a5-594a-47dc-ba7b-fc3199f72145,completed,completed,v0.1.0,853.47611490885413,6493568,6502403,6475,1729.348285
sep-cmaes-ipop-l20,9,111009,32d7b4a4-11db-42bd-8c9b-14ee67da44fa,completed,completed,v0.1.0,884.25526173909509,290400,6502403,9658,1765.603325
cmaes-single,10,111010,f80461bd-b67a-49c5-99cb-7c674a42d267,completed,completed,v0.1.0,902.31730143229163,1295360,1494019,1459,503.815986
cmaes-ipop,10,111010,0ebd471b-4877-47b6-a6b6-0fb45efcd606,completed,completed,v0.1.0,885.73345311482751,3689472,6502403,3422,2025.123745
cmaes-ipop-l64,10,111010,2f3352b2-6935-4913-bed0-8a722f986c88,completed,completed,v0.1.0,922.05020268758142,628416,6502403,9864,2151.532915
cmaes-ipop-l20,10,111010,d7189aec-3b20-48c7-a69f-2d8228fdfecb,completed,completed,v0.1.0,884.98109308878577,6496340,6502403,13211,2180.539435
sep-cmaes-single,10,111010,e13827b4-db3c-4e59-987a-492bac8e9fe8,completed,completed,v0.1.0,916.9603169759115,864256,1024003,1000,272.072791
sep-cmaes-ipop,10,111010,a750aa48-8177-4e28-a657-3589532d2474,completed,completed,v0.1.0,883.92442576090491,2508800,6502403,2847,1676.946861
sep-cmaes-ipop-l64,10,111010,e1a4298d-60ba-4762-9201-a3a3f19da10d,completed,completed,v0.1.0,849.41843414306641,6501824,6502403,8218,1762.454788
sep-cmaes-ipop-l20,10,111010,bf281307-1f95-4885-bb04-b7764f004578,completed,completed,v0.1.0,828.61667887369788,2141740,6502403,9107,1600.551748
cmaes-single,11,111011,8d84b96c-fdf6-48ea-a596-973843faa153,completed,completed,v0.1.0,853.24472427368164,1507328,1766403,1725,630.874241
cmaes-ipop,11,111011,7ed52b6d-e510-485a-8da5-621334586f30,completed,completed,v0.1.0,853.24472427368164,1507328,6502403,3727,2047.182912
cmaes-ipop-l64,11,111011,ab232131-179a-499e-9ebb-1c560242c160,completed,completed,v0.1.0,941.59640630086267,263040,6502403,9288,2397.178264
cmaes-ipop-l20,11,111011,c828cf25-8dda-4fa9-a096-cad6a3336c6f,completed,completed,v0.1.0,964.58217239379883,1600920,6502403,12680,2091.555393
sep-cmaes-single,11,111011,38a7e000-a958-428e-964a-a5b220a29559,completed,completed,v0.1.0,918.37164179484046,708608,977923,955,295.464839
sep-cmaes-ipop,11,111011,db273db1-2552-45e8-875c-5b3ccd412bef,completed,completed,v0.1.0,825.2774327596029,3634176,6502403,3076,1611.436820
sep-cmaes-ipop-l64,11,111011,38f6271d-5d01-4351-b107-89af4bbd8dbc,completed,completed,v0.1.0,899.82957458496094,6498752,6502403,7058,1792.504505
sep-cmaes-ipop-l20,11,111011,6c0f52c3-1f7b-4169-add2-dc6ea3fa7a25,completed,completed,v0.1.0,893.87553278605139,544240,6502403,9400,1944.238715
cmaes-single,12,111012,14f18db3-6595-44c5-bd88-ad7ded1b2e5b,completed,completed,v0.1.0,940.44022750854492,1054720,1605635,1568,508.182384
cmaes-ipop,12,111012,31c59f6f-6a4c-4719-a6de-c7cdefa0b565,completed,completed,v0.1.0,838.06437047322595,3934208,6502403,3574,1869.426147
cmaes-ipop-l64,12,111012,fef77f43-f06f-4aff-b8a5-b087b4df0a30,completed,completed,v0.1.0,839.87207921346032,5552256,6502403,11160,1899.662150
cmaes-ipop-l20,12,111012,ebffe17c-2ebe-4401-aa2d-53119f81d276,completed,completed,v0.1.0,876.747304280599,6502400,6502403,13199,2164.643988
sep-cmaes-single,12,111012,834176bc-7ec2-4711-824d-6b37e3dd0fe0,completed,completed,v0.1.0,854.19841257731116,885760,1060867,1036,262.691128
sep-cmaes-ipop,12,111012,d5ca8fb4-7aee-4972-a1e1-e1c6d8da0e00,completed,completed,v0.1.0,854.19841257731116,885760,6502403,3406,1421.314265
sep-cmaes-ipop-l64,12,111012,8b2426b8-7a84-4260-9cff-bf1f4d8ad781,completed,completed,v0.1.0,817.73118464152014,187520,6502403,6718,1580.607756
sep-cmaes-ipop-l20,12,111012,cc49d8bc-27de-4079-87e2-2a941959a019,completed,completed,v0.1.0,859.48301696777344,6502400,6502403,10001,1570.974172
