arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop-l20-w816,2,112002,0,3,large,160,833,133280,1000.0940488179525,tol_fun
sep-ipop-l20-w816,2,112002,0,4,large,320,759,242880,1240.7958221435547,tol_fun
sep-ipop-l20-w816,2,112002,0,5,large,640,789,504960,901.61298243204749,tol_fun
sep-ipop-l20-w816,2,112002,0,6,large,1280,1075,1376000,888.1254666646322,tol_fun
sep-ipop-l20-w816,2,112002,0,7,large,2560,1587,4061780,1040.1529884338379,maximum_evaluations
sep-ipop-l20-w204-min01,2,112002,0,0,large,20,1212,24240,1191.7685724894206,stagnation
sep-ipop-l20-w204-min01,2,112002,0,1,large,40,1787,71480,1269.0883954366047,stagnation
sep-ipop-l20-w204-min01,2,112002,0,2,large,80,1356,108480,958.34230295817054,stagnation
sep-ipop-l20-w204-min01,2,112002,0,3,large,160,1422,227520,1112.4833768208821,tol_fun
sep-ipop-l20-w204-min01,2,112002,0,4,large,320,879,281280,835.45852661132812,tol_fun
sep-ipop-l20-w204-min01,2,112002,0,5,large,640,745,476800,984.67529042561853,stagnation
sep-ipop-l20-w204-min01,2,112002,0,6,large,1280,756,967680,838.20345433553064,stagnation
sep-ipop-l20-w204-min01,2,112002,0,7,large,2560,1281,3279360,853.93877792358398,stagnation
sep-ipop-l20-w204-min01,2,112002,0,8,large,5120,208,1065560,1056.369088490804,maximum_evaluations
sep-ipop,2,112002,0,0,large,1024,1793,1836032,891.41808573404944,tol_fun
sep-ipop,2,112002,0,1,large,2048,1018,2084864,851.91446812947595,tol_fun
sep-ipop,2,112002,0,2,large,4096,630,2581504,953.20702234903968,maximum_evaluations
sep-ipop-w60,2,112002,0,0,large,1024,1440,1474560,891.41808573404944,stagnation
sep-ipop-w60,2,112002,0,1,large,2048,1027,2103296,896.13510131835938,stagnation
sep-ipop-w60,2,112002,0,2,large,4096,714,2924544,971.23605728149414,maximum_evaluations
sep-ipop-w121,2,112002,0,0,large,1024,1501,1537024,891.41808573404944,stagnation
sep-ipop-w121,2,112002,0,1,large,2048,1263,2586624,965.65818405151367,stagnation
sep-ipop-w121,2,112002,0,2,large,4096,581,2378752,1004.8990898132324,maximum_evaluations
sep-ipop-w484,2,112002,0,0,large,1024,1793,1836032,891.41808573404944,tol_fun
sep-ipop-w484,2,112002,0,1,large,2048,1018,2084864,851.91446812947595,tol_fun
sep-ipop-w484,2,112002,0,2,large,4096,630,2581504,953.20702234903968,maximum_evaluations
sep-ipop-l20,3,112003,0,0,large,20,1746,34920,1067.033223470052,tol_fun
sep-ipop-l20,3,112003,0,1,large,40,971,38840,1261.4559389750164,tol_fun
sep-ipop-l20,3,112003,0,2,large,80,1432,114560,1134.5592409769695,tol_fun
sep-ipop-l20,3,112003,0,3,large,160,954,152640,840.83790588378906,tol_fun
sep-ipop-l20,3,112003,0,4,large,320,868,277760,883.03936386108398,tol_fun
sep-ipop-l20,3,112003,0,5,large,640,1027,657280,1027.0129674275715,tol_fun
sep-ipop-l20,3,112003,0,6,large,1280,984,1259520,935.36106999715173,tol_fun
sep-ipop-l20,3,112003,0,7,large,2560,1550,3966880,954.45220692952478,maximum_evaluations
sep-ipop-l20-w102,3,112003,0,0,large,20,1378,27560,1067.033223470052,stagnation
sep-ipop-l20-w102,3,112003,0,1,large,40,1731,69240,1067.1696472167969,stagnation
sep-ipop-l20-w102,3,112003,0,2,large,80,965,77200,926.61473719278968,tol_fun
sep-ipop-l20-w102,3,112003,0,3,large,160,691,110560,1273.9911142985027,stagnation
sep-ipop-l20-w102,3,112003,0,4,large,320,865,276800,1244.2959887186687,tol_fun
sep-ipop-l20-w102,3,112003,0,5,large,640,795,508800,988.02103932698571,stagnation
sep-ipop-l20-w102,3,112003,0,6,large,1280,701,897280,903.21940612792969,stagnation
