arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent
cmaes-single,1,111001,472,483328,920.68233871459961,,1.7442063999324526,10619.493426964398,0.082877821151323944
cmaes-single,1,111001,497,508928,916.75881195068359,,1.6228889407636018,15219.268956182163,0.06181071387180212
cmaes-single,1,111001,521,533504,913.63579686482751,,1.3503042179976397,26049.536102215032,0.046296018967934331
cmaes-single,1,111001,546,559104,913.1734949747721,,1.2602755772105581,44109.427968838696,0.041702517561904996
cmaes-single,1,111001,571,584704,912.66681543985999,,1.2010433309533488,122045.60892348677,0.036319128483011782
cmaes-single,1,111001,596,610304,912.22276560465491,,1.0478908780793648,307090.36543577729,0.028677451053173188
cmaes-single,1,111001,621,635904,912.10223642985022,,1.0666225414265342,607477.90643773647,0.026678605997921098
cmaes-single,1,111001,645,660480,911.84264882405603,,0.92432203259526091,963383.64675135072,0.02279285063630079
cmaes-single,1,111001,670,686080,911.77861913045251,,0.82256780810869012,1501270.7460705771,0.020548413932556634
cmaes-single,1,111001,695,711680,911.68539301554358,,0.79725918420726616,2080507.8186428456,0.019188275055645111
cmaes-single,1,111001,720,737280,911.62182998657227,,0.81656362779664149,4156107.9452362922,0.019921088127989747
cmaes-single,1,111001,745,762880,911.50388209025061,,0.72772014004921737,6026951.5215753866,0.016435732466140655
cmaes-single,1,111001,769,787456,911.45518620808923,,0.72335878094762107,10469843.380011898,0.016321041650168809
cmaes-single,1,111001,794,813056,911.42973709106445,,0.72071336678218001,24733851.595486231,0.016166979718485051
cmaes-single,1,111001,819,838656,911.34763971964514,,0.72809661576442375,44748513.61841204,0.016461580876147013
cmaes-single,1,111001,844,864256,911.29251098632812,,0.89474723108329468,65290003.106067546,0.018915022703408762
cmaes-single,1,111001,869,889856,911.27102279663086,,0.90399561417775232,118982471.05021749,0.019569525769483131
cmaes-single,1,111001,893,914432,911.25617090860999,,0.86145718185518305,182617058.87192893,0.018091467762129332
cmaes-single,1,111001,918,940032,911.24441528320312,,0.9377543637609036,255655316.52289721,0.018813178482054733
cmaes-single,1,111001,943,965632,911.24237187703454,,0.96736002919555797,459175615.68100536,0.017912920384616011
cmaes-single,1,111001,968,991232,911.23749796549475,,0.92173406050449092,1459610234.7946987,0.017539675013395931
cmaes-single,1,111001,993,1016832,911.23214213053382,,0.94096724080241445,2677362775.2310586,0.017849252139858031
cmaes-single,1,111001,1017,1041408,911.22966639200843,,0.88588038257812907,5059391055.5539179,0.016850368838603195
cmaes-single,1,111001,1042,1067008,911.22380574544275,,0.98089594692616744,12565823959.096512,0.019126704924587255
cmaes-single,1,111001,1067,1092608,911.22289148966468,,0.8995796548835302,20056008623.133041,0.016427664899292746
cmaes-single,1,111001,1092,1118208,911.22253672281897,,0.95109243132352395,29927260055.634068,0.017658539770090579
cmaes-single,1,111001,1117,1143808,911.22253672281897,,0.946282550072305,42548953919.692116,0.017735332152896723
cmaes-single,1,111001,1142,1169408,911.22253672281897,,0.90511503890995038,49136941440.236977,0.016297202614132582
cmaes-single,1,111001,1166,1193984,911.22253672281897,,0.89157113611511152,57746270229.19281,0.016645532762770313
cmaes-single,1,111001,1191,1219584,911.22232818603516,,0.75053552020724457,67514793608.491638,0.014132403058181321
cmaes-single,1,111001,1216,1245184,911.22232818603516,,0.69232024718656815,78964825486.374176,0.01321483314443944
cmaes-single,1,111001,1241,1270784,911.22232818603516,,0.62544822853611248,87831828198.928314,0.011988723710372099
cmaes-single,1,111001,1266,1296384,911.22232818603516,,0.63143337526526799,100464753121.96516,0.01293933562156727
