arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
full-ipop-l64,1,119001,3541,407488,1025.0661163330078,,0.067355390162871953,245.94402638281122,0.081099725927668023,2
full-ipop-l64,1,119001,3636,431808,955.46582285563147,,0.043518098902259661,858.50830865386672,0.04911917136932642,2
full-ipop-l64,1,119001,3738,457920,943.61675898234046,,0.054356036048096697,4837.6761741099745,0.071439736163212031,2
full-ipop-l64,1,119001,3837,483264,932.96849060058594,,0.039556593271824148,9598.5391117625295,0.048716097354772059,2
full-ipop-l64,1,119001,3937,508864,929.64049530029297,,0.011961539215377896,16149.203586339287,0.013901145127009242,2
full-ipop-l64,1,119001,4033,533440,928.78693644205725,,0.0067993355675409111,32684.706823753935,0.0074469515981986107,2
full-ipop-l64,1,119001,4137,560064,928.50718307495117,,0.0021239402748469785,350294.88955813908,0.0022858693984202619,2
full-ipop-l64,1,119001,4232,584384,928.40019734700525,,0.0009836745884004819,1590856.1781510781,0.0010617650484870751,2
full-ipop-l64,1,119001,4333,610240,928.37869898478186,,0.00056409307859770852,9010686.0219010543,0.00072074401334914421,2
full-ipop-l64,1,119001,4431,635328,928.37055587768555,,0.00028808335159494675,17152505.220830206,0.00037903170197867484,2
full-ipop-l64,1,119001,4536,662208,928.36688105265296,,0.00016443066654529335,19291368.235071436,0.00021428665879006463,2
full-ipop-l64,1,119001,4641,692160,928.36686452229821,,0.57373091390181319,1.9411573871175791,0.66355603887230385,3
full-ipop-l64,1,119001,4683,713664,928.36686452229821,,0.32547227776651422,4.6115318331111075,0.3469861058711331,3
full-ipop-l64,1,119001,4746,745920,928.36686452229821,,0.15983791044490439,18.289769181193151,0.15803007206453229,3
full-ipop-l64,1,119001,4788,767424,928.36686452229821,,0.12768999824561122,92.740687452589881,0.12658457755986363,3
full-ipop-l64,1,119001,4830,788928,928.36686452229821,,0.11227942565809915,335.39597667385408,0.12460279846808889,3
full-ipop-l64,1,119001,4893,821184,928.36686452229821,,0.10467928901953075,690.06202713593245,0.098311974376707509,3
full-ipop-l64,1,119001,4935,842688,928.36686452229821,,0.15825094985517391,1451.8791295400481,0.14522222460434583,3
full-ipop-l64,1,119001,4977,864192,928.36686452229821,,0.11414360531793412,2027.322463598957,0.091174908982185651,3
full-ipop-l64,1,119001,5040,896448,928.36686452229821,,0.08719165839821684,4067.4788307876624,0.063580377185635972,3
full-ipop-l64,1,119001,5082,917952,928.36686452229821,,0.14598507082577991,8079.4351505564919,0.11613474753940035,3
full-ipop-l64,1,119001,5145,950208,928.36686452229821,,0.10352909905925084,11793.440578941943,0.064477412937455292,3
full-ipop-l64,1,119001,5187,971712,928.36686452229821,,0.09659271621796528,19461.382144741317,0.055385958904446829,3
full-ipop-l64,1,119001,5229,993216,928.36686452229821,,0.065498838799381939,27062.605671020025,0.035687745854574834,3
full-ipop-l64,1,119001,5292,1025472,928.36686452229821,,0.058450000617689561,46813.729108047875,0.029915861701995356,3
full-ipop-l64,1,119001,5334,1046976,928.36686452229821,,0.049108039416837238,74512.209681991968,0.023362881631614804,3
full-ipop-l64,1,119001,5376,1068480,928.36686452229821,,0.040703434586914895,102446.08493917357,0.018070571468833202,3
full-ipop-l64,1,119001,5439,1100736,928.36686452229821,,0.036655875136297311,196194.63994871601,0.015920705141180078,3
full-ipop-l64,1,119001,5481,1122240,928.36686452229821,,0.040759710885482102,367718.70666770625,0.017705448848540011,3
full-ipop-l64,1,119001,5523,1143744,928.36686452229821,,0.15913572933294146,702496.55757041136,0.073330068558359163,3
full-ipop-l64,1,119001,5586,1176000,928.36686452229821,,0.2101676665102441,566072.9571908965,0.061714345021331496,3
full-ipop-l64,1,119001,5628,1197504,928.36686452229821,,0.13863333490541288,1059700.1699706861,0.037967356761756547,3
