arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
mayfly-single,1,113001,336,1068512,839.04885101318359,0.025481381091266596,,,,0
mayfly-single,1,113001,344,1093904,838.95222473144531,0.041160327332102717,,,,0
mayfly-single,1,113001,352,1119296,838.06544367472327,0.046855572693099652,,,,0
mayfly-single,1,113001,360,1144688,837.12193298339844,0.055920008067362921,,,,0
mayfly-single,1,113001,368,1170080,837.04555511474609,0.045632588639545377,,,,0
mayfly-single,1,113001,376,1195472,836.96037292480469,0.038474980521417637,,,,0
mayfly-single,1,113001,384,1220864,836.92807261149085,0.023982447196338557,,,,0
mayfly-single,1,113001,392,1246256,836.91406504313147,0.020814459680083289,,,,0
mayfly-single,1,113001,400,1271648,836.78373209635413,0.035262175796884405,,,,0
mayfly-single,1,113001,408,1297040,836.76534271240234,0.029354762221445656,,,,0
mayfly-single,1,113001,416,1322432,836.75703938802087,0.023629572193786912,,,,0
mayfly-single,1,113001,424,1347824,836.72256088256836,0.04581066371374358,,,,0
mayfly-single,1,113001,432,1373216,836.72019195556641,0.079107392505787841,,,,0
mayfly-single,1,113001,440,1398608,836.71379725138343,0.036758023945702198,,,,0
mayfly-single,1,113001,448,1424000,836.71234258015954,0.027950283381908875,,,,0
mayfly-single,1,113001,456,1449392,836.71208190917969,0.017514707751358764,,,,0
mayfly-single,1,113001,464,1474784,836.71208190917969,0.013455621794549243,,,,0
mayfly-single,1,113001,472,1500176,836.71208190917969,0.022315929048304706,,,,0
mayfly-single,1,113001,480,1525568,836.71208190917969,0.035086764506867887,,,,0
mayfly-single,1,113001,488,1550960,836.71022542317712,0.052959710597726015,,,,0
mayfly-single,1,113001,496,1576352,836.50979359944665,0.10268170490266182,,,,0
mayfly-single,1,113001,504,1601744,836.50524266560876,0.074819696957489953,,,,0
mayfly-single,1,113001,512,1627136,836.47760391235352,0.069309807069691656,,,,0
mayfly-single,1,113001,520,1652528,836.47432454427087,0.061225088596571907,,,,0
mayfly-single,1,113001,528,1677920,836.47248331705725,0.032780346219341089,,,,0
mayfly-single,1,113001,536,1703312,836.47198740641272,0.023368708877513081,,,,0
mayfly-single,1,113001,544,1728704,836.47162882486975,0.018113892545231262,,,,0
mayfly-single,1,113001,552,1754096,836.47162882486975,0.013933876971232384,,,,0
mayfly-single,1,113001,560,1779488,836.47162882486975,0.02506889994291199,,,,0
mayfly-single,1,113001,568,1804880,836.47114562988281,0.01243607142111406,,,,0
mayfly-single,1,113001,576,1830272,836.47110875447595,0.021466367525607155,,,,0
mayfly-single,1,113001,584,1855664,836.47110875447595,0.017935044403084542,,,,0
mayfly-single,1,113001,592,1881056,836.47110875447595,0.022430712988685226,,,,0
