arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
full-ipop-l64,17,119017,1c4025c9-a699-4306-af31-66804a0dcc2b,completed,completed,v0.1.0,901.93781789143884,89664,6502403,10047,2683.577091,cpu
full-r32-l64,17,119017,b585a3d1-4488-406c-bac2-19c67269e31f,completed,completed,v0.1.0,901.93781789143884,89664,3493955,54593,1968.847866,cpu
full-fill-l64,17,119017,ab49ebe6-3a29-4d17-9fa9-c98aa6b6e478,completed,completed,v0.1.0,892.44740041097009,5686336,6316611,98697,3470.719931,cpu
full-ipop-l64,18,119018,fd0645ec-212a-48ad-887a-b9bd8ddcdbec,completed,completed,v0.1.0,1115.2607739766438,5677440,6502403,8909,2517.515948,cpu
full-r32-l64,18,119018,df02ff5b-7c7f-4b21-a2f5-aea219b0b8d8,completed,completed,v0.1.0,849.27338282267249,1382080,3331715,52058,1757.819081,cpu
full-fill-l64,18,119018,98810125-77f0-4a35-b381-6ed2dba40c16,completed,completed,v0.1.0,849.27338282267249,1382080,6324675,98823,3330.423915,cpu
full-ipop-l64,19,119019,e7e3fa4c-4c0c-4d98-8382-4f9474209f89,completed,completed,v0.1.0,931.07622782389319,3230528,6502403,9419,2234.878560,cpu
full-r32-l64,19,119019,af1ebbf6-7667-42bd-a79b-360ef09bf604,completed,completed,v0.1.0,854.19744618733728,2377408,3164547,49446,1657.541435,cpu
full-fill-l64,19,119019,ee9ada5a-1e44-4d4a-bc63-6e440f53f403,completed,completed,v0.1.0,854.19744618733728,2377408,6312323,98630,3232.228402,cpu
full-ipop-l64,20,119020,f37e9ace-fdf8-4e20-bdd7-c9eb455d96c8,completed,completed,v0.1.0,902.36672465006507,6003904,6502403,10283,2362.830374,cpu
full-r32-l64,20,119020,a90b6509-98b5-4390-be94-06e1ebe03aa8,completed,completed,v0.1.0,909.53990936279297,1493248,3227651,50432,1689.922831,cpu
full-fill-l64,20,119020,8fad4b56-ef2c-44de-a653-0d09436d4465,completed,completed,v0.1.0,900.92073822021484,4562624,6384835,99763,3276.243175,cpu
full-ipop-l64,21,119021,23a2ddac-0b0f-4edc-9683-78c3c03ccbfd,completed,completed,v0.1.0,811.75932439168298,6110528,6502403,10785,2261.680478,cpu
full-r32-l64,21,119021,7b1b0932-b8c9-4053-b8f1-996d913baaa9,completed,completed,v0.1.0,897.06845092773438,2133632,3620483,56570,1814.398400,cpu
full-fill-l64,21,119021,defd4bbb-3857-4990-bfe7-16f3a5189fbb,completed,completed,v0.1.0,897.06845092773438,2133632,6328131,98877,3394.754508,cpu
full-ipop-l64,22,119022,641486a7-6382-4c63-9b03-3561fa6ffae6,completed,completed,v0.1.0,853.10251108805335,97088,6502403,9217,2148.707076,cpu
full-r32-l64,22,119022,bcebcb38-ae80-4983-8806-d2e39bc0f278,completed,completed,v0.1.0,853.10251108805335,97088,3381187,52831,1805.262625,cpu
full-fill-l64,22,119022,d0389f16-54d7-41f2-bdb5-4c4dc578dd68,completed,completed,v0.1.0,853.10251108805335,97088,6342595,99103,3395.987155,cpu
full-ipop-l64,23,119023,8e8b517d-a309-4a92-bc19-2555c2ebc15a,completed,completed,v0.1.0,833.7505887349447,5625344,6502403,9718,2535.114483,cpu
full-r32-l64,23,119023,29bd6dcb-f138-44d5-aa09-331ec0bbc67c,completed,completed,v0.1.0,887.4832547505697,2905280,3410947,53296,1944.462238,cpu
full-fill-l64,23,119023,940f9512-ed4e-44f9-8058-33c96913fe41,completed,completed,v0.1.0,887.4832547505697,2905280,6353795,99278,3221.382504,cpu
full-ipop-l64,24,119024,6e4511b5-536a-4fec-a145-db6359fb3854,completed,completed,v0.1.0,847.50284322102868,3207168,6502403,10228,2363.622765,cpu
full-r32-l64,24,119024,5818fa94-0559-4ddb-89e9-2d67c2d17ab1,completed,completed,v0.1.0,948.07745107014978,1302464,3343171,52237,1788.296648,cpu
full-fill-l64,24,119024,f069129e-39b6-4702-8cd7-6129ae199957,completed,completed,v0.1.0,901.00191497802734,4978048,6305347,98521,2950.512697,cpu
