regime,qmc,block,seed,iters,evals,bestCost,initialCost,termination
scarce,halton,26,7026,128,25475,1230.385478,nan,completed
scarce,halton,27,7027,128,25475,1024.592317,nan,completed
scarce,halton,28,7028,128,25475,1299.734952,nan,completed
scarce,halton,29,7029,128,25475,1317.355320,nan,completed
scarce,halton,30,7030,128,25475,1234.169757,nan,completed
scarce,halton,31,7031,128,25475,1183.128050,nan,completed
scarce,halton,32,7032,128,25475,1273.336411,nan,completed
scarce,halton,33,7033,128,25475,1342.316586,nan,completed
scarce,halton,34,7034,128,25475,1180.015213,nan,completed
scarce,halton,35,7035,128,25475,1219.986821,nan,completed
scarce,halton,36,7036,128,25475,1222.618437,nan,completed
scarce,halton,37,7037,128,25475,1362.636040,nan,completed
scarce,halton,38,7038,128,25475,1279.793137,nan,completed
scarce,halton,39,7039,128,25475,1273.128218,nan,completed
scarce,halton,40,7040,128,25475,1367.053018,nan,completed
scarce,sobol,1,7001,128,25475,1197.985366,nan,completed
scarce,sobol,2,7002,128,25475,1141.203714,nan,completed
scarce,sobol,3,7003,128,25475,1313.301250,nan,completed
scarce,sobol,4,7004,128,25475,1265.506666,nan,completed
scarce,sobol,5,7005,128,25475,1329.822333,nan,completed
scarce,sobol,6,7006,128,25475,1215.065201,nan,completed
scarce,sobol,7,7007,128,25475,1264.964410,nan,completed
scarce,sobol,8,7008,128,25475,1290.321339,nan,completed
scarce,sobol,9,7009,128,25475,1188.982660,nan,completed
scarce,sobol,10,7010,128,25475,963.089465,nan,completed
scarce,sobol,11,7011,128,25475,1047.587456,nan,completed
scarce,sobol,12,7012,128,25475,1110.526751,nan,completed
scarce,sobol,13,7013,128,25475,1301.182198,nan,completed
scarce,sobol,14,7014,128,25475,1146.894016,nan,completed
scarce,sobol,15,7015,128,25475,1294.318731,nan,completed
scarce,sobol,16,7016,128,25475,1018.652131,nan,completed
scarce,sobol,17,7017,128,25475,1402.394708,nan,completed
scarce,sobol,18,7018,128,25475,1202.652476,nan,completed
scarce,sobol,19,7019,128,25475,1405.461994,nan,completed
scarce,sobol,20,7020,128,25475,1317.532819,nan,completed
scarce,sobol,21,7021,128,25475,1169.881135,nan,completed
scarce,sobol,22,7022,128,25475,1453.929843,nan,completed
scarce,sobol,23,7023,128,25475,1185.180614,nan,completed
scarce,sobol,24,7024,128,25475,1353.224925,nan,completed
scarce,sobol,25,7025,128,25475,1140.009323,nan,completed
scarce,sobol,26,7026,128,25475,1181.322247,nan,completed
scarce,sobol,27,7027,128,25475,1274.458843,nan,completed
scarce,sobol,28,7028,128,25475,1145.888776,nan,completed
scarce,sobol,29,7029,128,25475,1109.895650,nan,completed
scarce,sobol,30,7030,128,25475,1359.377513,nan,completed
scarce,sobol,31,7031,128,25475,1087.405427,nan,completed
scarce,sobol,32,7032,128,25475,1332.423845,nan,completed
scarce,sobol,33,7033,128,25475,1263.853840,nan,completed
scarce,sobol,34,7034,128,25475,1325.940512,nan,completed
scarce,sobol,35,7035,128,25475,1108.848790,nan,completed
scarce,sobol,36,7036,128,25475,1105.748327,nan,completed
scarce,sobol,37,7037,128,25475,1367.083934,nan,completed
scarce,sobol,38,7038,128,25475,1329.341342,nan,completed
scarce,sobol,39,7039,128,25475,1255.771493,nan,completed
scarce,sobol,40,7040,128,25475,1331.898692,nan,completed
