arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-bipop-w60,5,111017,0,9,small,1026,650,666900,919.07799530029297,stagnation
sep-bipop-w60,5,111017,0,10,large,4096,438,1795876,892.5186436971029,maximum_evaluations
sep-ipop,6,111018,0,0,large,1024,1727,1768448,752.52201207478845,tol_fun
sep-ipop,6,111018,0,1,large,2048,1291,2643968,828.42260487874353,tol_fun
sep-ipop,6,111018,0,2,large,4096,510,2089984,1003.2417627970377,maximum_evaluations
sep-ipop-w60,6,111018,0,0,large,1024,1256,1286144,752.52201207478845,stagnation
sep-ipop-w60,6,111018,0,1,large,2048,2221,4548608,823.48771286010742,stagnation
sep-ipop-w60,6,111018,0,2,large,4096,163,667648,1197.768798828125,maximum_evaluations
sep-bipop-w60,6,111018,0,0,large,1024,1256,1286144,752.52201207478845,stagnation
sep-bipop-w60,6,111018,0,1,small,1024,147,150528,1325.8153317769368,maximum_evaluations
sep-bipop-w60,6,111018,0,2,small,1024,346,354304,1184.1081492106121,maximum_evaluations
sep-bipop-w60,6,111018,0,3,small,1024,1,1024,9043.8030789693203,maximum_evaluations
sep-bipop-w60,6,111018,0,4,small,1024,571,584704,954.92534510294593,stagnation
sep-bipop-w60,6,111018,0,5,small,1024,584,598016,1009.2566083272299,maximum_evaluations
sep-bipop-w60,6,111018,0,6,large,2048,712,1458176,1020.0396397908529,stagnation
sep-bipop-w60,6,111018,0,7,small,1076,1173,1262148,859.06660207112634,maximum_evaluations
sep-bipop-w60,6,111018,0,8,large,4096,197,807356,1139.632251739502,maximum_evaluations
sep-ipop,7,111019,0,0,large,1024,1220,1249280,945.63711547851562,tol_fun
sep-ipop,7,111019,0,1,large,2048,1303,2668544,891.2981287638346,tol_fun
sep-ipop,7,111019,0,2,large,4096,631,2584576,899.48207600911462,maximum_evaluations
sep-ipop-w60,7,111019,0,0,large,1024,906,927744,945.63711547851562,stagnation
sep-ipop-w60,7,111019,0,1,large,2048,1301,2664448,911.98955535888672,stagnation
sep-ipop-w60,7,111019,0,2,large,4096,711,2910208,907.59158452351892,maximum_evaluations
sep-bipop-w60,7,111019,0,0,large,1024,906,927744,945.63711547851562,stagnation
sep-bipop-w60,7,111019,0,1,small,1024,148,151552,1236.0552304585774,maximum_evaluations
sep-bipop-w60,7,111019,0,2,small,1024,348,356352,1011.7190958658854,maximum_evaluations
sep-bipop-w60,7,111019,0,3,small,1024,294,301056,1214.5053850809734,maximum_evaluations
sep-bipop-w60,7,111019,0,4,small,1024,91,93184,1308.2350184122722,maximum_evaluations
sep-bipop-w60,7,111019,0,5,small,1024,230,235520,982.44862238566077,maximum_evaluations
sep-bipop-w60,7,111019,0,6,large,2048,878,1798144,891.89678573608398,stagnation
sep-bipop-w60,7,111019,0,7,small,1998,164,327672,1169.4444529215496,maximum_evaluations
sep-bipop-w60,7,111019,0,8,small,1656,261,432216,1063.1185709635417,maximum_evaluations
sep-bipop-w60,7,111019,0,9,small,1658,179,296782,1184.6744702657063,maximum_evaluations
sep-bipop-w60,7,111019,0,10,small,1029,309,317961,1017.7625452677408,maximum_evaluations
sep-bipop-w60,7,111019,0,11,small,1205,853,1027865,1156.2486623128254,tol_fun
sep-bipop-w60,7,111019,0,12,large,4096,58,236352,1484.1040929158528,maximum_evaluations
sep-ipop,8,111020,0,0,large,1024,993,1016832,854.40448633829749,tol_fun
sep-ipop,8,111020,0,1,large,2048,1413,2893824,913.9632784525553,tol_fun
sep-ipop,8,111020,0,2,large,4096,633,2591744,906.32771937052405,maximum_evaluations
sep-ipop-w60,8,111020,0,0,large,1024,729,746496,854.40448633829749,stagnation
sep-ipop-w60,8,111020,0,1,large,2048,1001,2050048,869.15396753946936,stagnation
sep-ipop-w60,8,111020,0,2,large,4096,905,3705856,817.39932886759436,maximum_evaluations
sep-bipop-w60,8,111020,0,0,large,1024,729,746496,854.40448633829749,stagnation
sep-bipop-w60,8,111020,0,1,small,1024,114,116736,1287.5105171203613,maximum_evaluations
sep-bipop-w60,8,111020,0,2,small,1024,248,253952,933.13309605916345,maximum_evaluations
sep-bipop-w60,8,111020,0,3,small,1024,279,285696,946.68886693318689,maximum_evaluations
sep-bipop-w60,8,111020,0,4,small,1024,52,53248,1472.0458564758301,maximum_evaluations
sep-bipop-w60,8,111020,0,5,small,1024,47,48128,1444.7426020304363,maximum_evaluations
sep-bipop-w60,8,111020,0,6,large,2048,853,1746944,1020.4849866231283,stagnation
sep-bipop-w60,8,111020,0,7,small,1395,587,818865,901.45220311482751,maximum_evaluations
sep-bipop-w60,8,111020,0,8,small,1148,719,825412,835.06117757161462,stagnation
sep-bipop-w60,8,111020,0,9,small,1393,98,136514,1369.3924980163574,maximum_evaluations
sep-bipop-w60,8,111020,0,10,large,4096,359,1470409,924.22766749064124,maximum_evaluations
sep-ipop,9,111021,0,0,large,1024,1378,1411072,939.57033157348633,tol_fun
sep-ipop,9,111021,0,1,large,2048,1431,2930688,895.25213368733728,tol_fun
sep-ipop,9,111021,0,2,large,4096,528,2160640,890.990732828776,maximum_evaluations
sep-ipop-w60,9,111021,0,0,large,1024,1376,1409024,939.57033157348633,stagnation
sep-ipop-w60,9,111021,0,1,large,2048,985,2017280,1155.3626416524251,stagnation
sep-ipop-w60,9,111021,0,2,large,4096,751,3076096,869.03330612182617,maximum_evaluations
sep-bipop-w60,9,111021,0,0,large,1024,1376,1409024,939.57033157348633,stagnation
sep-bipop-w60,9,111021,0,1,small,1024,61,62464,1414.4613444010417,maximum_evaluations
sep-bipop-w60,9,111021,0,2,small,1024,502,514048,1243.4186592102051,maximum_evaluations
sep-bipop-w60,9,111021,0,3,small,1024,140,143360,1353.9054005940754,maximum_evaluations
sep-bipop-w60,9,111021,0,4,small,1024,483,494592,921.00755564371741,maximum_evaluations
sep-bipop-w60,9,111021,0,5,small,1024,137,140288,1247.2341397603352,maximum_evaluations
sep-bipop-w60,9,111021,0,6,small,1024,81,82944,1355.6194534301758,maximum_evaluations
sep-bipop-w60,9,111021,0,7,large,2048,1155,2365440,927.98693974812829,stagnation
sep-bipop-w60,9,111021,0,8,small,1369,172,235468,1258.1804962158203,maximum_evaluations
sep-bipop-w60,9,111021,0,9,small,1807,338,610766,1026.8901519775391,maximum_evaluations
sep-bipop-w60,9,111021,0,10,small,1687,65,109655,1426.7040328979492,maximum_evaluations
sep-bipop-w60,9,111021,0,11,small,1261,3,3783,8955.1043980916347,maximum_evaluations
sep-bipop-w60,9,111021,0,12,small,1171,135,158085,1268.8209571838379,maximum_evaluations
sep-bipop-w60,9,111021,0,13,small,1240,108,133920,1300.5984268188477,maximum_evaluations
sep-bipop-w60,9,111021,0,14,small,1748,6,10488,1817.5751126607258,maximum_evaluations
sep-bipop-w60,9,111021,0,15,small,1024,24,24576,1667.0032297770183,maximum_evaluations
sep-bipop-w60,9,111021,0,16,small,1391,1,1391,11053.909491221109,maximum_evaluations
sep-bipop-w60,9,111021,0,17,small,1031,2,2062,8386.9867553710938,maximum_evaluations
sep-bipop-w60,9,111021,0,18,small,46,1,46,16546.21285502116,maximum_evaluations
sep-ipop,10,111022,0,0,large,1024,782,800768,1015.2362950642904,tol_fun
sep-ipop,10,111022,0,1,large,2048,1090,2232320,892.58084742228186,tol_fun
sep-ipop,10,111022,0,2,large,4096,847,3469312,902.12310409545898,maximum_evaluations
sep-ipop-w60,10,111022,0,0,large,1024,695,711680,1015.2362950642904,stagnation
sep-ipop-w60,10,111022,0,1,large,2048,1074,2199552,827.6839599609375,stagnation
sep-ipop-w60,10,111022,0,2,large,4096,877,3591168,1285.0862948099773,maximum_evaluations
sep-bipop-w60,10,111022,0,0,large,1024,695,711680,1015.2362950642904,stagnation
sep-bipop-w60,10,111022,0,1,small,1024,106,108544,1231.8022003173828,maximum_evaluations
sep-bipop-w60,10,111022,0,2,small,1024,88,90112,1363.1214993794758,maximum_evaluations
sep-bipop-w60,10,111022,0,3,small,1024,149,152576,1276.7550417582195,maximum_evaluations
sep-bipop-w60,10,111022,0,4,small,1024,123,125952,1350.1191685994465,maximum_evaluations
sep-bipop-w60,10,111022,0,5,small,1024,305,312320,1236.0584576924641,maximum_evaluations
sep-bipop-w60,10,111022,0,6,large,2048,971,1988608,864.35199483235681,stagnation
sep-bipop-w60,10,111022,0,7,small,1357,684,928188,978.02725601196289,stagnation
sep-bipop-w60,10,111022,0,8,small,1112,435,483720,1100.5611279805501,maximum_evaluations
sep-bipop-w60,10,111022,0,9,small,1607,313,502991,990.77712504069007,maximum_evaluations
sep-bipop-w60,10,111022,0,10,large,4096,268,1097709,1083.8206214904785,maximum_evaluations
sep-ipop,11,111023,0,0,large,1024,1070,1095680,966.92156855265296,tol_fun
sep-ipop,11,111023,0,1,large,2048,1273,2607104,1302.856273651123,tol_fun
