arm,block,seed,stage,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
pol-none,1,130001,0,1358,86871,707.24989573160804,,0.36738845017606353,31558.469168926706,0.039512150587241335,8
pol-none,1,130001,0,1404,89815,707.24989573160804,,0.15831683304481908,2354470.7153668576,0.0051754152577762639,8
pol-none,1,130001,0,1450,92759,707.24989573160804,,0.12611680236541506,131587.58332710728,0.00043787262482800461,8
pol-none,1,130001,0,1496,95703,707.24989573160804,,0.37639392496608642,42.78668914422051,0.30361536489184426,9
pol-none,1,130001,0,1542,98647,707.24989573160804,,0.11637258885356301,1231.208480963131,0.0067563480420779493,9
pol-none,1,130001,0,1611,103063,707.24989573160804,,0.049749007801560143,9057289.374386115,0.00096724843860707121,9
pol-none,1,130001,0,1657,106007,707.24989573160804,,0.47388689952430063,1132.8481677609316,0.10985526464600825,10
pol-none,1,130001,0,1703,108951,707.24989573160804,,0.32017919711382486,601150.35654485691,0.014078789474480206,10
pol-none,1,130001,0,1749,111895,707.24989573160804,,0.18654494651108561,4064769.1412063614,0.001829221329620951,10
pol-none,1,130001,0,1795,114839,707.24989573160804,,0.43098090361191455,160.14206295649672,0.17518441376400576,11
pol-none,1,130001,0,1839,117655,703.99946467081702,,0.32945492727025466,14120.704697191715,0.020400109131767402,11
pol-none,1,130001,0,1910,122199,703.97793706258142,,0.44174451797897141,13.988983648794003,0.51037564639324051,12
pol-none,1,130001,0,1956,125143,703.97793706258142,,0.15727888247545146,1147.1331334010515,0.014797174005036193,12
pol-none,1,130001,0,2002,128087,703.97793706258142,,0.080980730935105966,18410.84029260695,0.00091774926893659395,12
pol-none,1,130001,0,2048,131031,703.97793706258142,,0.32900835526763245,22.491487777902606,0.31036149456542644,13
pol-none,1,130001,0,2094,133975,703.97793706258142,,0.60631150518074994,12761.329282067049,0.08677443718559219,13
pol-none,1,130001,0,2140,136919,703.97793706258142,,0.28992803427469044,2001542.382230618,0.0095739203270955222,13
pol-none,1,130001,0,2186,139863,703.97793706258142,,0.31884971638681298,75567.860832237551,0.00047089229619654889,13
pol-none,1,130001,0,2255,144279,703.97793706258142,,0.36132204840766602,1553.9166118351486,0.17136478517290368,14
pol-none,1,130001,0,2301,147223,703.97793706258142,,0.17413284299292356,2311915.7521280781,0.032892590109112378,14
pol-none,1,130001,0,2347,150167,703.97793706258142,,0.16417900524294129,2562305716.9783306,0.022882739706676359,14
pol-none,1,130001,0,2393,153111,703.97793706258142,,0.25188339235547547,625.33885319713431,0.079660791299244901,15
pol-none,1,130001,0,2439,156055,703.97793706258142,,0.22385356748891932,144295.17546799895,0.01548480741141786,15
pol-none,1,130001,0,2485,158999,703.97793706258142,,0.17966647508363676,12334783.32123201,0.0043117674595759296,15
pol-none,1,130001,0,2554,163415,703.97793706258142,,0.23675962481861887,115703.66831371072,0.00012912539892073771,15
pol-none,1,130001,0,2600,166359,703.97793706258142,,0.3252234222296102,456.37175202581716,0.17954642682922553,16
pol-none,1,130001,0,2646,169303,703.97793706258142,,0.47621102570614193,25864.257053433943,0.029456606082521902,16
pol-none,1,130001,0,2692,172247,703.97793706258142,,0.1589222457702576,3333523.6354823913,0.0029119450145087861,16
pol-none,1,130001,0,2738,175191,703.97793706258142,,0.21619202843011315,8400114.0195788536,0.00098538601009806668,16
