circles,bestCost,gainFromPrev,jobId,evaluations
64,356.2950439453,1.3289,5a806b87-e810-4818-9703-a6bc5b4267da,23
65,355.0280342102,1.2670,64ed715e-9f99-4f9c-b87f-16edc4184288,453214
66,352.9576187134,2.0704,769583f2-3d6c-4ceb-8908-0488a033a3d1,902053
67,351.2402407328,1.7174,d82f8757-ac88-4c13-8a07-6e91f3ccbfd7,1355948
68,349.5540466309,1.6862,72415b3a-665b-4622-99f6-5e18d9038483,1806451
69,348.3856455485,1.1684,99929a8d-a469-417f-a9e0-a19fca8442c2,2261754
70,347.0705324809,1.3151,6126e439-d7e6-4422-a89c-6a891e65e8ee,2713985
71,345.5217196147,1.5488,e3e73117-7fa6-4b96-8a04-95a2cf4e7713,3165832
72,344.5348904928,0.9868,305de8b8-5b56-4d76-a4ee-6552e5936076,23
73,343.4298426310,1.1050,afb9db5f-09ac-4c66-9b1d-7a2e6e55b0b8,448926
74,342.4335924784,0.9963,12aa86a0-5d2d-487b-837e-de70b34107ae,895717
75,341.2311019897,1.2025,6ea01135-505e-4e82-b7e5-86b542f583be,1341612
76,340.1708806356,1.0602,8d0d05fa-e87e-4832-b13c-724308680deb,1787891
77,338.7472813924,1.4236,1897542c-de84-4193-a8c6-a07a70aaac92,2235706
78,337.9959945679,0.7513,5124b5f0-62bc-4d40-bd9c-927969806c72,2681985
79,336.9494527181,1.0465,f6798b99-c1de-424c-823c-1ec916bce7d0,3135240
80,335.6533393860,1.2961,774e7d8e-543c-4275-a857-5f5657df16e2,23
81,334.8605766296,0.7928,de61884d-a088-4573-8a92-79b095f30a36,449822
82,333.5976219177,1.2630,1a37c168-dcb7-49db-aa8c-870411459a1e,900773
83,332.0865618388,1.5111,494780d7-46dd-4ae9-be73-10434d58c3d7,1353452
84,331.0291900635,1.0574,07255341-84d1-4f50-bf85-8a79aa515376,1801523
85,329.9547538757,1.0744,f68aa7ee-30a5-4782-bbad-9c4311053223,2260538
86,328.5682220459,1.3865,2d6d1917-c714-42d1-9c87-8816ea339102,2707905
87,327.5318705241,1.0364,0dbfd6ac-8177-4c16-a2a5-93efc5c23a84,3155272
88,326.6661809285,0.8657,8882ef44-2777-4932-9568-b2062ba13198,23
89,324.8494656881,1.8167,e8504f31-0576-4b0d-8755-a03d44d82a26,450014
90,324.0860455831,0.7634,db8d862c-3244-4baf-998e-5d5bf05ae10f,902501
91,323.4423802694,0.6437,0ffe3f1f-e405-45aa-a2a2-ff90fd7ec43b,1356780
92,322.7972068787,0.6452,741f512b-645b-4e00-bba8-83398404c403,1804019
93,321.4383265177,1.3589,cf3f72a0-9c78-43d2-8dee-3471c868dd2a,2250554
94,320.6684481303,0.7699,2b998463-82ba-4077-a5f4-a3810fbac208,2698945
95,320.0789197286,0.5895,4f386ee3-4d32-4978-b73d-7817bb1697dd,3150984
96,319.2953236898,0.7836,58e2d550-87a8-4cae-97b9-924806413dda,23
97,317.8032099406,1.4921,c42ff582-79d4-47cc-9679-1223dcc4aa01,450078
98,316.6557490031,1.1475,8a6e551a-7523-4c75-9c26-faff5591a1ae,904869
99,316.0225270589,0.6332,ec51c4e5-4daf-42c7-95bd-7aef2f81945c,1358380
